fold,k,beta,late_q,mode,stage,num_points,wear_min_um,wear_max_um,mae_um,rmse_um,mean_residual_um,underest_ratio
fold2,5,,0.0,delta-knn-only@k5,late,56,122.64857482910156,210.91937255859375,24.958065032958984,25.07672882080078,24.958065032958984,0.0
fold2,5,0.3,0.0,delta-blend@k5_b03,early,0,91.47920989990234,97.94757843017578,nan,nan,nan,nan
fold2,5,0.3,0.0,delta-blend@k5_b03,mid,0,98.04940032958984,121.59553527832031,nan,nan,nan,nan
fold2,5,0.3,0.0,delta-blend@k5_b03,late,56,122.64857482910156,210.91937255859375,23.63968849182129,24.15615463256836,23.63968849182129,0.0
fold2,5,0.5,0.0,delta-blend@k5_b05,early,0,91.47920989990234,97.94757843017578,nan,nan,nan,nan
fold2,5,0.5,0.0,delta-blend@k5_b05,mid,0,98.04940032958984,121.59553527832031,nan,nan,nan,nan
fold2,5,0.5,0.0,delta-blend@k5_b05,late,56,122.64857482910156,210.91937255859375,24.016366958618164,24.3880615234375,24.016366958618164,0.0
fold2,5,0.7,0.0,delta-blend@k5_b07,early,0,91.47920989990234,97.94757843017578,nan,nan,nan,nan
fold2,5,0.7,0.0,delta-blend@k5_b07,mid,0,98.04940032958984,121.59553527832031,nan,nan,nan,nan
fold2,5,0.7,0.0,delta-blend@k5_b07,late,56,122.64857482910156,210.91937255859375,24.393047332763672,24.645252227783203,24.393047332763672,0.0
fold2,10,,0.0,delta-knn-only@k10,early,0,91.47920989990234,97.94757843017578,nan,nan,nan,nan
fold2,10,,0.0,delta-knn-only@k10,mid,0,98.04940032958984,121.59553527832031,nan,nan,nan,nan
fold2,10,,0.0,delta-knn-only@k10,late,56,122.64857482910156,210.91937255859375,25.033281326293945,25.14353370666504,25.033281326293945,0.0
fold2,10,0.3,0.0,delta-blend@k10_b03,early,0,91.47920989990234,97.94757843017578,nan,nan,nan,nan
fold2,10,0.3,0.0,delta-blend@k10_b03,mid,0,98.04940032958984,121.59553527832031,nan,nan,nan,nan
fold2,10,0.3,0.0,delta-blend@k10_b03,late,56,122.64857482910156,210.91937255859375,23.66225242614746,24.172937393188477,23.66225242614746,0.0
fold2,10,0.5,0.0,delta-blend@k10_b05,early,0,91.47920989990234,97.94757843017578,nan,nan,nan,nan
fold2,10,0.5,0.0,delta-blend@k10_b05,mid,0,98.04940032958984,121.59553527832031,nan,nan,nan,nan
fold2,10,0.5,0.0,delta-blend@k10_b05,late,56,122.64857482910156,210.91937255859375,24.053974151611328,24.41766929626465,24.053974151611328,0.0
